geo,time,Channel0_impression,Channel1_impression,Channel2_impression,Channel3_impression,Channel4_impression,competitor_sales_control,sentiment_score_control,Channel0_spend,Channel1_spend,Channel2_spend,Channel3_spend,Channel4_spend,Organic_channel0_impression,Promo,conversions,revenue_per_conversion,population
Geo0,25 January 2021,280668,0,0,470611,108010,-1.33876,0.115581,2058.061,0,0,3667.397,841.6044,97320,0,1954577,0.020055,136670.9
Geo0,01 February 2021,366206,182108,19825,527702,252506,0.893645,0.944224,2685.287,1755.745,147.3181,4112.297,1967.504,201441,0,2064250,0.020103,136670.9
Geo0,08 February 2021,197565,230170,0,393618,184061,-0.28455,-1.29058,1448.69,2219.122,0,3067.402,1434.187,0,0.683819,2086383,0.019929,136670.9
Geo0,15 February 2021,140990,66643,0,326034,201729,-1.03474,-1.08451,1033.841,642.5206,0,2540.731,1571.855,0,1.289055,2826432,0.019987,136670.9
Geo0,22 February 2021,399116,164991,0,381982,153973,-0.31928,-0.0175,2926.607,1590.716,0,2976.725,1199.744,0,0.227739,3551929,0.02,136670.9
Geo0,01 March 2021,219462,149254,0,417941,41573,-0.6527,-0.30211,1609.254,1438.992,0,3256.948,323.9332,0,0,2241229,0.020142,136670.9
Geo0,08 March 2021,39715,52062,273250,662155,381411,1.427616,-0.23734,291.2191,501.9418,2030.5,5160.068,2971.921,0,0,2553928,0.020031,136670.9
Geo0,15 March 2021,114458,230897,122797,423700,229769,0.457912,0.865576,839.2888,2226.132,912.4952,3301.826,1790.34,88088,0,2218997,0.020035,136670.9
Geo0,22 March 2021,235989,256233,0,413992,359812,0.89351,-0.80687,1730.442,2470.402,0,3226.174,2803.623,334506,1.465963,2322240,0.020044,136670.9
Geo0,29 March 2021,428627,0,280553,501091,341979,0.520105,-0.24917,3143.003,0,2084.768,3904.922,2664.67,0,0.973131,2363708,0.019866,136670.9
Geo0,05 April 2021,221340,143848,0,397356,33530,-0.85632,0.050082,1623.025,1386.872,0,3096.532,261.2628,46898,0,2229579,0.019946,136670.9
Geo0,12 April 2021,391678,50750,0,722273,171367,-1.45286,1.558553,2872.066,489.2925,0,5628.559,1335.277,228913,1.627971,3524765,0.019868,136670.9
Geo0,19 April 2021,244001,0,0,329811,207582,-1.96422,-0.59979,1789.192,0,0,2570.165,1617.461,140779,0.66907,3347290,0.01993,136670.9
